"doi","tittle","author","year","journal","country","iso_3","locality","longitude","latitude","farm_type","sample_type","host","age","antimicrobial","antimicrobial_compound","no_isolates_resistant","no_isolates_intermidiate","no_isolates_susceptible","percent_resistant","percent_intermediate","percent_susceptible","no_isolates","odd_ratio","p_value","mic_breakpoint_mg_m_l","mic_minimum_ihibitory_concentration_mg_m_l","production_system","sampling_start_date","sampling_end_date","pathogen","strain","no_samples","no_isolates_resistant_to_more_than_one_antimicrobial","prevalence_percent","controls_strain","method","no_organic_production_farms","no_conventonal_production_farms","withdrawal_period_in_years_of_antimicrobials_prior_to_experiment","guidelines","statistical_analyses","laboratory_test","farm_characteristics","notes"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Ampicillin","AMP",93,NA,477,"8.296164139",NA,NA,1121,"2.055","<0.001","32","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Amoxicillin-clavulanic acid","AMC",10,NA,560,"0.8920606601",NA,NA,1121,"1.98","0.214","32","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Cephalothin","CEF",23,NA,547,"2.051739518",NA,NA,1121,"0.969","0.918","32","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Cefoxitin","FOX",8,NA,560,"0.7136485281",NA,NA,1121,"3.997","0.081","32","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Ceftiofur","CTF",6,NA,564,"0.5352363961",NA,NA,1121,"5.91","0.101","8","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Ceftriaxone","CRO",0,NA,570,"0",NA,NA,1121,"NA","NA","32","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Streptomycin","STR",105,NA,465,"9.366636931",NA,NA,1121,"1.755","0.002","64","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Kanamycin","KAN",107,NA,462,"9.545049063",NA,NA,1121,"2.588","<0.001","64","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Gentamycin","GEN",22,NA,548,"1.962533452",NA,NA,1121,"3.241","0.008","16","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
"https://doi.org/10.2460/javma.2005.226.589","Antimicrobial susceptibility of Escherichia coli isolates from dairy farms using organic versus conventional production methods","Kenji et al.",2005,"Journal of American Veterinary Medical Association","United States of America","USA","Wisconsin",42.862956,-90.561593,"Conventional","Feacal","Cows and Calves","Lactating cows and less than 6 months calves","Apramycin","APR",7,NA,563,"0.6244424621",NA,NA,1121,"2.262","0.239","32","","Dairy",2000,2001,"E.coli","",1191,203,NA,"E coli (ATCC 25,922), Staphylococcus aureus (ATCC 29,213) and Pseudomonas aeruginosa (ATCC 27,853)","Micro-broth dillution",30,30,"3","National Committee for Clinical Laboratory Standards","Logistic regression to determine odds ratio/ Mantel-Haenszel mean score statistic","Antimicrobial susceptability test(AST) and bacterial culture","","significant p value was p=<0.05 was considered for all the analyses/ longitude and latitude are esstimated from google maps"
